name,type,start_time,duration,"data"
"TX","data",2.96914764,8.246e-05,0x5F
"TX","data",2.96923444,8.246e-05,0x77
"TX","data",2.96932124,8.246e-05,0x61
"TX","data",2.96940804,8.246e-05,0x69
"TX","data",2.96949484,8.246e-05,0x74
"TX","data",2.96958164,8.246e-05,0x5F
"TX","data",2.96966844,8.246e-05,0x68
"TX","data",2.96975524,8.246e-05,0x70
"TX","data",2.96984204,8.246e-05,0x64
"TX","data",2.96992884,8.246e-05,0x5F
"TX","data",2.97001564,8.246e-05,0x65
"TX","data",2.97010244,8.246e-05,0x76
"TX","data",2.97018924,8.246e-05,0x65
"TX","data",2.97027604,8.246e-05,0x6E
"TX","data",2.97036284,8.246e-05,0x74
"TX","data",2.97044964,8.246e-05,0x3A
"TX","data",2.97053644,8.246e-05,0x20
"TX","data",2.97062324,8.246e-05,0x57
"TX","data",2.97071004,8.246e-05,0x61
"TX","data",2.97079684,8.246e-05,0x69
"TX","data",2.97088364,8.246e-05,0x74
"TX","data",2.97097044,8.246e-05,0x69
"TX","data",2.97105724,8.246e-05,0x6E
"TX","data",2.97114404,8.246e-05,0x67
"TX","data",2.97123084,8.246e-05,0x20
"TX","data",2.97131764,8.246e-05,0x66
"TX","data",2.97140444,8.246e-05,0x6F
"TX","data",2.97149122,8.246e-05,0x72
"TX","data",2.97157802,8.246e-05,0x20
"TX","data",2.97166482,8.246e-05,0x68
"TX","data",2.97175162,8.246e-05,0x64
"TX","data",2.97183842,8.246e-05,0x6D
"TX","data",2.97192522,8.246e-05,0x69
"TX","data",2.97201202,8.246e-05,0x20
"TX","data",2.97209882,8.246e-05,0x68
"TX","data",2.97218562,8.246e-05,0x6F
"TX","data",2.97227242,8.246e-05,0x74
"TX","data",2.97235922,8.246e-05,0x20
"TX","data",2.97244602,8.246e-05,0x70
"TX","data",2.97253282,8.246e-05,0x6C
"TX","data",2.97261962,8.246e-05,0x75
"TX","data",2.97270642,8.246e-05,0x67
"TX","data",2.97279322,8.246e-05,0x20
"TX","data",2.97288002,8.246e-05,0x65
"TX","data",2.97296682,8.246e-05,0x76
"TX","data",2.97305362,8.246e-05,0x65
"TX","data",2.97314042,8.246e-05,0x6E
"TX","data",2.97322722,8.246e-05,0x74
"TX","data",2.97331402,8.246e-05,0x2E
"TX","data",2.97340082,8.246e-05,0x2E
"TX","data",2.97348762,8.246e-05,0x2E
"TX","data",2.97357442,8.246e-05,0x0D
"TX","data",2.97366122,8.246e-05,0x0A
"TX","data",3.59233576,8.246e-05,0x61
"TX","data",3.59242256,8.246e-05,0x6E
"TX","data",3.59250936,8.246e-05,0x78
